,OrderID,CustomerID,Product,Category,Quantity,UnitPrice,OrderDate,PaymentMethod,City,DeliveryStatus,ReturnFlag,TotalRevenue,HighOrder,CityGroup
0,O1001,C01,Phone,Electronics,1.0,50000.0,2023-01-10,Credit Card,Karachi,Delivered,0.0,50000.0,0,Tier1
1,O1002,C02,Laptop,Electronics,1.0,120000.0,2023-02-15,Cash,Islamabad,Delivered,0.0,120000.0,1,Tier2
2,O1003,C03,Headphones,Electronics,2.0,15000.0,2023-03-12,Card,Lahore,Returned,1.0,30000.0,0,Tier2
3,O1004,C04,Shirt,Fashion,3.0,2000.0,2023-01-25,Cash,Unknown,Delivered,0.0,6000.0,0,Tier3
4,O1005,C05,Shoes,Fashion,1.0,5000.0,2023-02-10,Card,Karachi,Delivered,0.0,5000.0,0,Tier1
5,O1006,C01,Phone,Electronics,1.0,50000.0,2023-01-10,Credit Card,Karachi,Delivered,0.0,50000.0,0,Tier1
6,O1007,C06,Watch,Fashion,2.0,15000.0,2023-04-01,Cash,Lahore,Delivered,0.0,30000.0,0,Tier2
7,O1008,C07,Tablet,Electronics,1.0,80000.0,2023-05-20,Credit Card,Islamabad,Returned,1.0,80000.0,1,Tier2
8,O1009,C08,Shirt,Fashion,4.0,1800.0,2023-06-15,Card,Karachi,Delivered,0.0,7200.0,0,Tier1
9,O1010,C09,Shoes,Fashion,2.0,5500.0,2023-07-10,Cash,Lahore,Delivered,0.0,11000.0,0,Tier2
10,O1011,C10,Phone,Electronics,1.0,52000.0,2023-07-12,Credit Card,Karachi,Delivered,0.0,52000.0,1,Tier1
11,O1012,C11,Laptop,Electronics,1.0,125000.0,2023-07-13,Cash,Lahore,Delivered,0.0,125000.0,1,Tier2
12,O1013,C12,Headphones,Electronics,2.0,4000.0,2023-07-14,Card,Islamabad,Returned,1.0,8000.0,0,Tier2
13,O1014,C13,Shirt,Fashion,3.0,2200.0,2023-07-15,Cash,Karachi,Delivered,0.0,6600.0,0,Tier1
14,O1015,C14,Shoes,Fashion,1.0,6000.0,2023-07-16,Card,Lahore,Delivered,0.0,6000.0,0,Tier2
15,O1016,C15,Watch,Fashion,2.0,14000.0,2023-07-17,Credit Card,Karachi,Delivered,0.0,28000.0,0,Tier1
16,O1017,C16,Tablet,Electronics,1.0,85000.0,2023-07-18,Cash,Islamabad,Returned,1.0,85000.0,1,Tier2
17,O1018,C17,Phone,Electronics,1.0,51000.0,2023-07-19,Card,Lahore,Delivered,0.0,51000.0,1,Tier2
18,O1019,C18,Shirt,Fashion,4.0,1900.0,2023-07-20,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
19,O1020,C19,Shoes,Fashion,2.0,5300.0,2023-07-21,Card,Lahore,Delivered,0.0,10600.0,0,Tier2
20,O1021,C20,Laptop,Electronics,1.0,118000.0,2023-07-22,Credit Card,Karachi,Delivered,0.0,118000.0,1,Tier1
21,O1022,C21,Headphones,Electronics,2.0,15000.0,2023-07-23,Cash,Lahore,Returned,1.0,30000.0,0,Tier2
22,O1023,C22,Shirt,Fashion,3.0,2100.0,2023-07-24,Card,Islamabad,Delivered,0.0,6300.0,0,Tier2
23,O1024,C23,Shoes,Fashion,1.0,5800.0,2023-07-25,Cash,Unknown,Delivered,0.0,5800.0,0,Tier3
24,O1025,C24,Watch,Fashion,2.0,15000.0,2023-07-26,Card,Karachi,Delivered,0.0,30000.0,0,Tier1
25,O1026,C25,Tablet,Electronics,1.0,78000.0,2023-07-27,Credit Card,Lahore,Delivered,0.0,78000.0,1,Tier2
26,O1027,C26,Phone,Electronics,1.0,49500.0,2023-07-28,Cash,Karachi,Delivered,0.0,49500.0,0,Tier1
27,O1028,C27,Laptop,Electronics,1.0,130000.0,2023-07-29,Card,Islamabad,Returned,1.0,130000.0,1,Tier2
28,O1029,C28,Headphones,Electronics,2.0,3500.0,2023-07-30,Cash,Lahore,Delivered,0.0,7000.0,0,Tier2
29,O1030,C29,Shirt,Fashion,4.0,2000.0,2023-07-31,Card,Karachi,Delivered,0.0,8000.0,0,Tier1
30,O1031,C30,Shoes,Fashion,2.0,5600.0,2023-08-01,Cash,Lahore,Delivered,0.0,11200.0,0,Tier2
31,O1032,C31,Watch,Fashion,1.0,15500.0,2023-08-02,Credit Card,Karachi,Delivered,0.0,15500.0,0,Tier1
32,O1033,C32,Tablet,Electronics,1.0,82000.0,2023-08-03,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
33,O1034,C33,Phone,Electronics,1.0,50500.0,2023-08-04,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
34,O1035,C34,Laptop,Electronics,1.0,122000.0,2023-08-05,Credit Card,Lahore,Delivered,0.0,122000.0,1,Tier2
35,O1036,C35,Headphones,Electronics,2.0,3800.0,2023-08-06,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
36,O1037,C36,Shirt,Fashion,3.0,2100.0,2023-08-07,Card,Lahore,Returned,1.0,6300.0,0,Tier2
37,O1038,C37,Shoes,Fashion,1.0,5700.0,2023-08-08,Cash,Islamabad,Delivered,0.0,5700.0,0,Tier2
38,O1039,C38,Watch,Fashion,2.0,14500.0,2023-08-09,Card,Karachi,Delivered,0.0,29000.0,0,Tier1
39,O1040,C39,Tablet,Electronics,1.0,81000.0,2023-08-10,Credit Card,Lahore,Delivered,0.0,81000.0,1,Tier2
40,O1041,C40,Phone,Electronics,1.0,50000.0,2023-08-11,Cash,Karachi,Delivered,0.0,50000.0,0,Tier1
41,O1042,C41,Laptop,Electronics,1.0,121000.0,2023-08-12,Card,Lahore,Delivered,0.0,121000.0,1,Tier2
42,O1043,C42,Headphones,Electronics,2.0,3600.0,2023-08-13,Cash,Islamabad,Returned,1.0,7200.0,0,Tier2
43,O1044,C43,Shirt,Fashion,3.0,2000.0,2023-08-14,Card,Karachi,Delivered,0.0,6000.0,0,Tier1
44,O1045,C44,Shoes,Fashion,1.0,5900.0,2023-08-15,Cash,Lahore,Delivered,0.0,5900.0,0,Tier2
45,O1046,C45,Watch,Fashion,2.0,14800.0,2023-08-16,Credit Card,Karachi,Delivered,0.0,29600.0,0,Tier1
46,O1047,C46,Tablet,Electronics,1.0,83000.0,2023-08-17,Card,Islamabad,Returned,1.0,83000.0,1,Tier2
47,O1048,C47,Phone,Electronics,1.0,51500.0,2023-08-18,Cash,Karachi,Delivered,0.0,51500.0,1,Tier1
48,O1049,C48,Shirt,Fashion,4.0,1950.0,2023-08-19,Card,Lahore,Delivered,0.0,7800.0,0,Tier2
49,O1050,C49,Shoes,Fashion,2.0,5400.0,2023-08-20,Cash,Karachi,Delivered,0.0,10800.0,0,Tier1
50,O1051,C50,Laptop,Electronics,1.0,119000.0,2023-08-21,Credit Card,Lahore,Delivered,0.0,119000.0,1,Tier2
51,O1052,C51,Headphones,Electronics,2.0,3700.0,2023-08-22,Cash,Karachi,Delivered,0.0,7400.0,0,Tier1
52,O1053,C52,Shirt,Fashion,3.0,2050.0,2023-08-23,Card,Lahore,Returned,1.0,6150.0,0,Tier2
53,O1054,C53,Shoes,Fashion,1.0,5800.0,2023-08-24,Cash,Islamabad,Delivered,0.0,5800.0,0,Tier2
54,O1055,C54,Watch,Fashion,2.0,15200.0,2023-08-25,Card,Karachi,Delivered,0.0,30400.0,0,Tier1
55,O1056,C55,Tablet,Electronics,1.0,80000.0,2023-08-26,Credit Card,Lahore,Delivered,0.0,80000.0,1,Tier2
56,O1057,C56,Phone,Electronics,1.0,50500.0,2023-08-27,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
57,O1058,C57,Laptop,Electronics,1.0,123000.0,2023-08-28,Card,Lahore,Delivered,0.0,123000.0,1,Tier2
58,O1059,C58,Headphones,Electronics,2.0,3900.0,2023-08-29,Cash,Islamabad,Returned,1.0,7800.0,0,Tier2
59,O1060,C59,Shirt,Fashion,4.0,2100.0,2023-08-30,Card,Karachi,Delivered,0.0,8400.0,0,Tier1
60,O1061,C60,Shoes,Fashion,2.0,5500.0,2023-08-31,Cash,Lahore,Delivered,0.0,11000.0,0,Tier2
61,O1062,C61,Watch,Fashion,1.0,14900.0,2023-09-01,Credit Card,Karachi,Delivered,0.0,14900.0,0,Tier1
62,O1063,C62,Tablet,Electronics,1.0,82000.0,2023-09-02,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
63,O1064,C63,Phone,Electronics,1.0,51000.0,2023-09-03,Cash,Karachi,Delivered,0.0,51000.0,1,Tier1
64,O1065,C64,Laptop,Electronics,1.0,120000.0,2023-09-04,Credit Card,Lahore,Delivered,0.0,120000.0,1,Tier2
65,O1066,C65,Headphones,Electronics,2.0,3800.0,2023-09-05,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
66,O1067,C66,Shirt,Fashion,3.0,2000.0,2023-09-06,Card,Lahore,Returned,1.0,6000.0,0,Tier2
67,O1068,C67,Shoes,Fashion,1.0,5700.0,2023-09-07,Cash,Islamabad,Delivered,0.0,5700.0,0,Tier2
68,O1069,C68,Watch,Fashion,2.0,15000.0,2023-09-08,Card,Karachi,Delivered,0.0,30000.0,0,Tier1
69,O1070,C69,Tablet,Electronics,1.0,81000.0,2023-09-09,Credit Card,Lahore,Delivered,0.0,81000.0,1,Tier2
70,O1071,C70,Phone,Electronics,1.0,50000.0,2023-09-10,Cash,Karachi,Delivered,0.0,50000.0,0,Tier1
71,O1072,C71,Laptop,Electronics,1.0,122000.0,2023-09-11,Card,Lahore,Delivered,0.0,122000.0,1,Tier2
72,O1073,C72,Headphones,Electronics,2.0,3600.0,2023-09-12,Cash,Islamabad,Returned,1.0,7200.0,0,Tier2
73,O1074,C73,Shirt,Fashion,3.0,2100.0,2023-09-13,Card,Karachi,Delivered,0.0,6300.0,0,Tier1
74,O1075,C74,Shoes,Fashion,1.0,5900.0,2023-09-14,Cash,Lahore,Delivered,0.0,5900.0,0,Tier2
75,O1076,C75,Watch,Fashion,2.0,14800.0,2023-09-15,Credit Card,Karachi,Delivered,0.0,29600.0,0,Tier1
76,O1077,C76,Tablet,Electronics,1.0,83000.0,2023-09-16,Card,Islamabad,Returned,1.0,83000.0,1,Tier2
77,O1078,C77,Phone,Electronics,1.0,51500.0,2023-09-17,Cash,Karachi,Delivered,0.0,51500.0,1,Tier1
78,O1079,C78,Shirt,Fashion,4.0,1950.0,2023-09-18,Card,Lahore,Delivered,0.0,7800.0,0,Tier2
79,O1080,C79,Shoes,Fashion,2.0,5400.0,2023-09-19,Cash,Karachi,Delivered,0.0,10800.0,0,Tier1
80,O1081,C80,Laptop,Electronics,1.0,119000.0,2023-09-20,Credit Card,Lahore,Delivered,0.0,119000.0,1,Tier2
81,O1082,C81,Headphones,Electronics,2.0,3700.0,2023-09-21,Cash,Karachi,Delivered,0.0,7400.0,0,Tier1
82,O1083,C82,Shirt,Fashion,3.0,2050.0,2023-09-22,Card,Lahore,Returned,1.0,6150.0,0,Tier2
83,O1084,C83,Shoes,Fashion,1.0,5800.0,2023-09-23,Cash,Islamabad,Delivered,0.0,5800.0,0,Tier2
84,O1085,C84,Watch,Fashion,2.0,15200.0,2023-09-24,Card,Karachi,Delivered,0.0,30400.0,0,Tier1
85,O1086,C85,Tablet,Electronics,1.0,80000.0,2023-09-25,Credit Card,Lahore,Delivered,0.0,80000.0,1,Tier2
86,O1087,C86,Phone,Electronics,1.0,50500.0,2023-09-26,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
87,O1088,C87,Laptop,Electronics,1.0,123000.0,2023-09-27,Card,Lahore,Delivered,0.0,123000.0,1,Tier2
88,O1089,C88,Headphones,Electronics,2.0,3900.0,2023-09-28,Cash,Islamabad,Returned,1.0,7800.0,0,Tier2
89,O1090,C89,Shirt,Fashion,4.0,2100.0,2023-09-29,Card,Karachi,Delivered,0.0,8400.0,0,Tier1
90,O1091,C90,Shoes,Fashion,2.0,5500.0,2023-09-30,Cash,Lahore,Delivered,0.0,11000.0,0,Tier2
91,O1092,C91,Watch,Fashion,1.0,14900.0,2023-10-01,Credit Card,Karachi,Delivered,0.0,14900.0,0,Tier1
92,O1093,C92,Tablet,Electronics,1.0,82000.0,2023-10-02,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
93,O1094,C93,Phone,Electronics,1.0,51000.0,2023-10-03,Cash,Karachi,Delivered,0.0,51000.0,1,Tier1
94,O1095,C94,Laptop,Electronics,1.0,120000.0,2023-10-04,Credit Card,Lahore,Delivered,0.0,120000.0,1,Tier2
95,O1096,C95,Headphones,Electronics,2.0,3800.0,2023-10-05,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
96,O1097,C96,Shirt,Fashion,3.0,2000.0,2023-10-06,Card,Lahore,Returned,1.0,6000.0,0,Tier2
97,O1098,C97,Shoes,Fashion,1.0,5700.0,2023-10-07,Cash,Islamabad,Delivered,0.0,5700.0,0,Tier2
98,O1099,C98,Watch,Fashion,2.0,15000.0,2023-10-08,Card,Karachi,Delivered,0.0,30000.0,0,Tier1
99,O1100,C99,Tablet,Electronics,1.0,81000.0,2023-10-09,Credit Card,Lahore,Delivered,0.0,81000.0,1,Tier2
100,O1101,C100,Phone,Electronics,1.0,50500.0,2023-10-10,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
101,O1102,C101,Laptop,Electronics,1.0,121000.0,2023-10-11,Card,Lahore,Delivered,0.0,121000.0,1,Tier2
102,O1103,C102,Headphones,Electronics,2.0,3700.0,2023-10-12,Cash,Islamabad,Returned,1.0,7400.0,0,Tier2
103,O1104,C103,Shirt,Fashion,3.0,2100.0,2023-10-13,Card,Karachi,Delivered,0.0,6300.0,0,Tier1
104,O1105,C104,Shoes,Fashion,1.0,5800.0,2023-10-14,Cash,Lahore,Delivered,0.0,5800.0,0,Tier2
105,O1106,C105,Watch,Fashion,2.0,15000.0,2023-10-15,Credit Card,Karachi,Delivered,0.0,30000.0,0,Tier1
106,O1107,C106,Tablet,Electronics,1.0,82000.0,2023-10-16,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
107,O1108,C107,Phone,Electronics,1.0,51000.0,2023-10-17,Cash,Karachi,Delivered,0.0,51000.0,1,Tier1
108,O1109,C108,Shirt,Fashion,4.0,2000.0,2023-10-18,Card,Lahore,Delivered,0.0,8000.0,0,Tier2
109,O1110,C109,Shoes,Fashion,2.0,5500.0,2023-10-19,Cash,Karachi,Delivered,0.0,11000.0,0,Tier1
110,O1111,C110,Laptop,Electronics,1.0,119000.0,2023-10-20,Credit Card,Lahore,Delivered,0.0,119000.0,1,Tier2
111,O1112,C111,Headphones,Electronics,2.0,15000.0,2023-10-21,Cash,Karachi,Returned,1.0,30000.0,0,Tier1
112,O1113,C112,Shirt,Fashion,3.0,2050.0,2023-10-22,Card,Islamabad,Delivered,0.0,6150.0,0,Tier2
113,O1114,C113,Shoes,Fashion,1.0,5700.0,2023-10-23,Cash,Unknown,Delivered,0.0,5700.0,0,Tier3
114,O1115,C114,Watch,Fashion,2.0,15200.0,2023-10-24,Card,Karachi,Delivered,0.0,30400.0,0,Tier1
115,O1116,C115,Tablet,Electronics,1.0,80000.0,2023-10-25,Credit Card,Lahore,Delivered,0.0,80000.0,1,Tier2
116,O1117,C116,Phone,Electronics,1.0,50000.0,2023-10-26,Cash,Karachi,Delivered,0.0,50000.0,0,Tier1
117,O1118,C117,Laptop,Electronics,1.0,123000.0,2023-10-27,Card,Islamabad,Returned,1.0,123000.0,1,Tier2
118,O1119,C118,Headphones,Electronics,2.0,3900.0,2023-10-28,Cash,Lahore,Delivered,0.0,7800.0,0,Tier2
119,O1120,C119,Shirt,Fashion,4.0,2100.0,2023-10-29,Card,Karachi,Delivered,0.0,8400.0,0,Tier1
120,O1121,C120,Shoes,Fashion,2.0,5600.0,2023-10-30,Cash,Lahore,Delivered,0.0,11200.0,0,Tier2
121,O1122,C121,Watch,Fashion,1.0,14800.0,2023-10-31,Credit Card,Karachi,Delivered,0.0,14800.0,0,Tier1
122,O1123,C122,Tablet,Electronics,1.0,83000.0,2023-11-01,Card,Islamabad,Returned,1.0,83000.0,1,Tier2
123,O1124,C123,Phone,Electronics,1.0,51500.0,2023-11-02,Cash,Karachi,Delivered,0.0,51500.0,1,Tier1
124,O1125,C124,Laptop,Electronics,1.0,122000.0,2023-11-03,Credit Card,Lahore,Delivered,0.0,122000.0,1,Tier2
125,O1126,C125,Headphones,Electronics,2.0,3800.0,2023-11-04,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
126,O1127,C126,Shirt,Fashion,3.0,2000.0,2023-11-05,Card,Lahore,Returned,1.0,6000.0,0,Tier2
127,O1128,C127,Shoes,Fashion,1.0,5900.0,2023-11-06,Cash,Islamabad,Delivered,0.0,5900.0,0,Tier2
128,O1129,C128,Watch,Fashion,2.0,15000.0,2023-11-07,Card,Karachi,Delivered,0.0,30000.0,0,Tier1
129,O1130,C129,Tablet,Electronics,1.0,81000.0,2023-11-08,Credit Card,Lahore,Delivered,0.0,81000.0,1,Tier2
130,O1131,C130,Phone,Electronics,1.0,50000.0,2023-11-09,Cash,Karachi,Delivered,0.0,50000.0,0,Tier1
131,O1132,C131,Laptop,Electronics,1.0,121000.0,2023-11-10,Card,Lahore,Delivered,0.0,121000.0,1,Tier2
132,O1133,C132,Headphones,Electronics,2.0,3600.0,2023-11-11,Cash,Islamabad,Returned,1.0,7200.0,0,Tier2
133,O1134,C133,Shirt,Fashion,3.0,2100.0,2023-11-12,Card,Karachi,Delivered,0.0,6300.0,0,Tier1
134,O1135,C134,Shoes,Fashion,1.0,5800.0,2023-11-13,Cash,Lahore,Delivered,0.0,5800.0,0,Tier2
135,O1136,C135,Watch,Fashion,2.0,14800.0,2023-11-14,Credit Card,Karachi,Delivered,0.0,29600.0,0,Tier1
136,O1137,C136,Tablet,Electronics,1.0,82000.0,2023-11-15,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
137,O1138,C137,Phone,Electronics,1.0,51000.0,2023-11-16,Cash,Karachi,Delivered,0.0,51000.0,1,Tier1
138,O1139,C138,Shirt,Fashion,4.0,1950.0,2023-11-17,Card,Lahore,Delivered,0.0,7800.0,0,Tier2
139,O1140,C139,Shoes,Fashion,2.0,5400.0,2023-11-18,Cash,Karachi,Delivered,0.0,10800.0,0,Tier1
140,O1141,C140,Laptop,Electronics,1.0,119000.0,2023-11-19,Credit Card,Lahore,Delivered,0.0,119000.0,1,Tier2
141,O1142,C141,Headphones,Electronics,2.0,3700.0,2023-11-20,Cash,Karachi,Delivered,0.0,7400.0,0,Tier1
142,O1143,C142,Shirt,Fashion,3.0,2050.0,2023-11-21,Card,Lahore,Returned,1.0,6150.0,0,Tier2
143,O1144,C143,Shoes,Fashion,1.0,5800.0,2023-11-22,Cash,Islamabad,Delivered,0.0,5800.0,0,Tier2
144,O1145,C144,Watch,Fashion,2.0,15200.0,2023-11-23,Card,Karachi,Delivered,0.0,30400.0,0,Tier1
145,O1146,C145,Tablet,Electronics,1.0,80000.0,2023-11-24,Credit Card,Lahore,Delivered,0.0,80000.0,1,Tier2
146,O1147,C146,Phone,Electronics,1.0,50500.0,2023-11-25,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
147,O1148,C147,Laptop,Electronics,1.0,123000.0,2023-11-26,Card,Lahore,Delivered,0.0,123000.0,1,Tier2
148,O1149,C148,Headphones,Electronics,2.0,3900.0,2023-11-27,Cash,Islamabad,Returned,1.0,7800.0,0,Tier2
149,O1150,C149,Shirt,Fashion,4.0,2100.0,2023-11-28,Card,Karachi,Delivered,0.0,8400.0,0,Tier1
150,O1151,C150,Shoes,Fashion,2.0,5500.0,2023-11-29,Cash,Lahore,Delivered,0.0,11000.0,0,Tier2
151,O1152,C151,Watch,Fashion,1.0,14900.0,2023-11-30,Credit Card,Karachi,Delivered,0.0,14900.0,0,Tier1
152,O1153,C152,Tablet,Electronics,1.0,82000.0,2023-12-01,Card,Islamabad,Returned,1.0,82000.0,1,Tier2
153,O1154,C153,Phone,Electronics,1.0,51000.0,2023-12-02,Cash,Karachi,Delivered,0.0,51000.0,1,Tier1
154,O1155,C154,Laptop,Electronics,1.0,120000.0,2023-12-03,Credit Card,Lahore,Delivered,0.0,120000.0,1,Tier2
155,O1156,C155,Headphones,Electronics,2.0,3800.0,2023-12-04,Cash,Karachi,Delivered,0.0,7600.0,0,Tier1
156,O1157,C156,Shirt,Fashion,3.0,2000.0,2023-12-05,Card,Lahore,Returned,1.0,6000.0,0,Tier2
157,O1158,C157,Shoes,Fashion,1.0,5700.0,2023-12-06,Cash,Islamabad,Delivered,0.0,5700.0,0,Tier2
158,O1159,C158,Watch,Fashion,2.0,15000.0,2023-12-07,Card,Karachi,Delivered,0.0,30000.0,0,Tier1
159,O1160,C159,Tablet,Electronics,1.0,81000.0,2023-12-08,Credit Card,Lahore,Delivered,0.0,81000.0,1,Tier2
160,O1161,C160,Phone,Electronics,1.0,50000.0,2023-12-09,Cash,Karachi,Delivered,0.0,50000.0,0,Tier1
161,O1162,C161,Laptop,Electronics,1.0,122000.0,2023-12-10,Card,Lahore,Delivered,0.0,122000.0,1,Tier2
162,O1163,C162,Headphones,Electronics,2.0,3600.0,2023-12-11,Cash,Islamabad,Returned,1.0,7200.0,0,Tier2
163,O1164,C163,Shirt,Fashion,3.0,2100.0,2023-12-12,Card,Karachi,Delivered,0.0,6300.0,0,Tier1
164,O1165,C164,Shoes,Fashion,1.0,5900.0,2023-12-13,Cash,Lahore,Delivered,0.0,5900.0,0,Tier2
165,O1166,C165,Watch,Fashion,2.0,14800.0,2023-12-14,Credit Card,Karachi,Delivered,0.0,29600.0,0,Tier1
166,O1167,C166,Tablet,Electronics,1.0,83000.0,2023-12-15,Card,Islamabad,Returned,1.0,83000.0,1,Tier2
167,O1168,C167,Phone,Electronics,1.0,51500.0,2023-12-16,Cash,Karachi,Delivered,0.0,51500.0,1,Tier1
168,O1169,C168,Shirt,Fashion,4.0,1950.0,2023-12-17,Card,Lahore,Delivered,0.0,7800.0,0,Tier2
169,O1170,C169,Shoes,Fashion,2.0,5400.0,2023-12-18,Cash,Karachi,Delivered,0.0,10800.0,0,Tier1
170,O1171,C170,Laptop,Electronics,1.0,119000.0,2023-12-19,Credit Card,Lahore,Delivered,0.0,119000.0,1,Tier2
171,O1172,C171,Headphones,Electronics,2.0,3700.0,2023-12-20,Cash,Karachi,Delivered,0.0,7400.0,0,Tier1
172,O1173,C172,Shirt,Fashion,3.0,2050.0,2023-12-21,Card,Lahore,Returned,1.0,6150.0,0,Tier2
173,O1174,C173,Shoes,Fashion,1.0,5800.0,2023-12-22,Cash,Islamabad,Delivered,0.0,5800.0,0,Tier2
174,O1175,C174,Watch,Fashion,2.0,15200.0,2023-12-23,Card,Karachi,Delivered,0.0,30400.0,0,Tier1
175,O1176,C175,Tablet,Electronics,1.0,80000.0,2023-12-24,Credit Card,Lahore,Delivered,0.0,80000.0,1,Tier2
176,O1177,C176,Phone,Electronics,1.0,50500.0,2023-12-25,Cash,Karachi,Delivered,0.0,50500.0,1,Tier1
177,O1178,C177,Laptop,Electronics,1.0,123000.0,2023-12-26,Card,Lahore,Delivered,0.0,123000.0,1,Tier2
178,O1179,C178,Headphones,Electronics,2.0,3900.0,2023-12-27,Cash,Islamabad,Returned,1.0,7800.0,0,Tier2
179,O1180,C179,Shirt,Fashion,4.0,2100.0,2023-12-28,Card,Karachi,Delivered,0.0,8400.0,0,Tier1
